fill	xmin	xmax	ymin	ymax	key	showSelected1
#DDF1FF	-5.4	5.4	-0.35	0.35	1	0
#BEBEBE	-5.4	5.4	-0.35	0.35	1	1
#A4DCFF	-11.4	-0.6	-1.35	-0.65	2	1
#FF603F	0.6	11.4	-1.35	-0.65	3	1
#BEBEBE	-5.4	5.4	-0.35	0.35	1	2
#BEBEBE	-18.4	1.4	-1.35	-0.65	2	2
#FF603F	3.1	13.9	-1.35	-0.65	3	2
#87D3FF	-19.9	-9.1	-2.35	-1.65	4	2
#FF5938	-7.9	2.9	-2.35	-1.65	5	2
#BEBEBE	-5.4	5.4	-0.35	0.35	1	3
#BEBEBE	-18.4	1.4	-1.35	-0.65	2	3
#FF603F	3.1	13.9	-1.35	-0.65	3	3
#BEBEBE	-19.9	-9.1	-2.35	-1.65	4	3
#FF5938	-7.9	2.9	-2.35	-1.65	5	3
#5EC9FF	-25.9	-15.1	-3.35	-2.65	6	3
#FDFEFF	-13.9	-3.1	-3.35	-2.65	7	3
#BEBEBE	-5.4	5.4	-0.35	0.35	1	4
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	4
#BEBEBE	2.7	15.3	-1.35	-0.65	3	4
#BEBEBE	-23.4	-12.6	-2.35	-1.65	4	4
#FF5938	-11.4	-0.600000000000001	-2.35	-1.65	5	4
#5EC9FF	-29.4	-18.6	-3.35	-2.65	6	4
#FDFEFF	-17.4	-6.6	-3.35	-2.65	7	4
#FF4426	0.599999999999999	11.4	-2.35	-1.65	8	4
#81D1FF	12.6	23.4	-2.35	-1.65	9	4
#BEBEBE	-5.4	5.4	-0.35	0.35	1	5
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	5
#BEBEBE	2.7	15.3	-1.35	-0.65	3	5
#BEBEBE	-23.4	-12.6	-2.35	-1.65	4	5
#FF5938	-11.4	-0.600000000000001	-2.35	-1.65	5	5
#5EC9FF	-32.4	-21.6	-3.35	-2.65	6	5
#BEBEBE	-19.8	1.8	-3.35	-2.65	7	5
#FF4426	0.599999999999999	11.4	-2.35	-1.65	8	5
#81D1FF	12.6	23.4	-2.35	-1.65	9	5
#B6E2FF	-20.4	-9.6	-4.35	-3.65	10	5
#FF7C5B	-8.4	2.4	-4.35	-3.65	11	5
#BEBEBE	-5.4	5.4	-0.35	0.35	1	6
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	6
#BEBEBE	2.7	15.3	-1.35	-0.65	3	6
#BEBEBE	-23.4	-12.6	-2.35	-1.65	4	6
#FF5938	-11.4	-0.600000000000001	-2.35	-1.65	5	6
#BEBEBE	-33.8	-21.2	-3.35	-2.65	6	6
#BEBEBE	-19.3	2.3	-3.35	-2.65	7	6
#FF4426	0.599999999999999	11.4	-2.35	-1.65	8	6
#81D1FF	12.6	23.4	-2.35	-1.65	9	6
#B6E2FF	-17.4	-6.6	-4.35	-3.65	10	6
#FF7C5B	-5.4	5.4	-4.35	-3.65	11	6
#74CEFF	-41.4	-30.6	-4.35	-3.65	12	6
#18C0FF	-29.4	-18.6	-4.35	-3.65	13	6
#BEBEBE	-5.4	5.4	-0.35	0.35	1	7
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	7
#BEBEBE	2.7	15.3	-1.35	-0.65	3	7
#BEBEBE	-23.4	-12.6	-2.35	-1.65	4	7
#FF5938	-11.4	-0.600000000000001	-2.35	-1.65	5	7
#BEBEBE	-33.8	-21.2	-3.35	-2.65	6	7
#BEBEBE	-19.3	2.3	-3.35	-2.65	7	7
#FF4426	0.599999999999999	11.4	-2.35	-1.65	8	7
#81D1FF	12.6	23.4	-2.35	-1.65	9	7
#B6E2FF	-15.65	-4.85	-4.35	-3.65	10	7
#FF7C5B	-3.65	7.15	-4.35	-3.65	11	7
#BEBEBE	-52.95	-29.55	-4.35	-3.65	12	7
#18C0FF	-27.65	-16.85	-4.35	-3.65	13	7
#48C5FF	-52.65	-41.85	-5.35	-4.65	14	7
#AEE0FF	-40.65	-29.85	-5.35	-4.65	15	7
#BEBEBE	-5.4	5.4	-0.35	0.35	1	8
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	8
#BEBEBE	2.7	15.3	-1.35	-0.65	3	8
#BEBEBE	-23.4	-12.6	-2.35	-1.65	4	8
#FF5938	-11.4	-0.600000000000001	-2.35	-1.65	5	8
#BEBEBE	-33.8	-21.2	-3.35	-2.65	6	8
#BEBEBE	-19.3	2.3	-3.35	-2.65	7	8
#FF4426	0.599999999999999	11.4	-2.35	-1.65	8	8
#81D1FF	12.6	23.4	-2.35	-1.65	9	8
#B6E2FF	-15.65	-4.85	-4.35	-3.65	10	8
#FF7C5B	-3.65	7.15	-4.35	-3.65	11	8
#BEBEBE	-52.95	-29.55	-4.35	-3.65	12	8
#18C0FF	-27.65	-16.85	-4.35	-3.65	13	8
#48C5FF	-53.65	-42.85	-5.35	-4.65	14	8
#BEBEBE	-41.45	-27.05	-5.35	-4.65	15	8
#9AD9FF	-45.65	-34.85	-6.35	-5.65	16	8
#FF6C4A	-33.65	-22.85	-6.35	-5.65	17	8
#BEBEBE	-5.4	5.4	-0.35	0.35	1	9
#BEBEBE	-18.9	0.9	-1.35	-0.65	2	9
#BEBEBE	2.7	15.3	-1.35	-0.65	3	9
#BEBEBE	-23.4	-12.6	-2.35	-1.65	4	9
#FF5938	-11.4	-0.600000000000001	-2.35	-1.65	5	9
#BEBEBE	-33.8	-21.2	-3.35	-2.65	6	9
#BEBEBE	-19.3	2.3	-3.35	-2.65	7	9
#FF4426	0.599999999999999	11.4	-2.35	-1.65	8	9
