x	y	label	key	showSelected1	group
0	0.05	N=3066	1	0	-1
0	0.05	N=3066	1	1	-1
-6	-0.95	N=2309	2	1	-1
6	-0.95	N=757	3	1	-1
0	0.05	N=3066	1	2	-1
-8.5	-0.95	N=2309	2	2	-1
8.5	-0.95	N=757	3	2	-1
-14.5	-1.95	N=2089	4	2	-1
-2.5	-1.95	N=220	5	2	-1
0	0.05	N=3066	1	3	-1
-8.5	-0.95	N=2309	2	3	-1
8.5	-0.95	N=757	3	3	-1
-14.5	-1.95	N=2089	4	3	-1
-2.5	-1.95	N=220	5	3	-1
-20.5	-2.95	N=1681	6	3	-1
-8.5	-2.95	N=408	7	3	-1
0	0.05	N=3066	1	4	-1
-9	-0.95	N=2309	2	4	-1
9	-0.95	N=757	3	4	-1
-18	-1.95	N=2089	4	4	-1
-6	-1.95	N=220	5	4	-1
-24	-2.95	N=1681	6	4	-1
-12	-2.95	N=408	7	4	-1
6	-1.95	N=709	8	4	-1
18	-1.95	*N=48	9	4	-1
0	0.05	N=3066	1	5	-1
-9	-0.95	N=2309	2	5	-1
9	-0.95	N=757	3	5	-1
-18	-1.95	N=2089	4	5	-1
-6	-1.95	N=220	5	5	-1
-27	-2.95	N=1681	6	5	-1
-9	-2.95	N=408	7	5	-1
6	-1.95	N=709	8	5	-1
18	-1.95	*N=48	9	5	-1
-15	-3.95	N=248	10	5	-1
-3	-3.95	N=160	11	5	-1
0	0.05	N=3066	1	6	-1
-9	-0.95	N=2309	2	6	-1
9	-0.95	N=757	3	6	-1
-18	-1.95	N=2089	4	6	-1
-6	-1.95	N=220	5	6	-1
-27.5	-2.95	N=1681	6	6	-1
-8.5	-2.95	N=408	7	6	-1
6	-1.95	N=709	8	6	-1
18	-1.95	*N=48	9	6	-1
-12	-3.95	N=248	10	6	-1
0	-3.95	N=160	11	6	-1
-36	-3.95	N=1082	12	6	-1
-24	-3.95	N=599	13	6	-1
0	0.05	N=3066	1	7	-1
-9	-0.95	N=2309	2	7	-1
9	-0.95	N=757	3	7	-1
-18	-1.95	N=2089	4	7	-1
-6	-1.95	N=220	5	7	-1
-27.5	-2.95	N=1681	6	7	-1
-8.5	-2.95	N=408	7	7	-1
6	-1.95	N=709	8	7	-1
18	-1.95	*N=48	9	7	-1
-10.25	-3.95	N=248	10	7	-1
1.75	-3.95	N=160	11	7	-1
-41.25	-3.95	N=1082	12	7	-1
-22.25	-3.95	N=599	13	7	-1
-47.25	-4.95	N=709	14	7	-1
-35.25	-4.95	N=373	15	7	-1
0	0.05	N=3066	1	8	-1
-9	-0.95	N=2309	2	8	-1
9	-0.95	N=757	3	8	-1
-18	-1.95	N=2089	4	8	-1
-6	-1.95	N=220	5	8	-1
-27.5	-2.95	N=1681	6	8	-1
-8.5	-2.95	N=408	7	8	-1
6	-1.95	N=709	8	8	-1
18	-1.95	*N=48	9	8	-1
-10.25	-3.95	N=248	10	8	-1
1.75	-3.95	N=160	11	8	-1
-41.25	-3.95	N=1082	12	8	-1
